ID,tags,text,tokens,ner_tags
NCT01189786,26:35:chronic_disease,"Severe life, threatening infection","['Severe' 'life' ',' 'threatening' 'infection']",[0. 0. 0. 0. 2.]
NCT01059786,30:39:chronic_disease,Presence of active untreated infection,['Presence' 'of' 'active' 'untreated' 'infection'],[0. 0. 0. 0. 2.]
NCT00967785,43:52:chronic_disease,Absence of a documented history of severe infection,['Absence' 'of' 'a' 'documented' 'history' 'of' 'severe' 'infection'],[0. 0. 0. 0. 0. 0. 0. 2.]
NCT00906984,21:30:chronic_disease,Active uncontrolled infection,['Active' 'uncontrolled' 'infection'],[0. 0. 2.]
NCT00720785,19:28:chronic_disease,Ongoing or active infection,['Ongoing' 'or' 'active' 'infection'],[0. 0. 0. 2.]
NCT00670358,19:28:chronic_disease,Ongoing or active infection,['Ongoing' 'or' 'active' 'infection'],[0. 0. 0. 2.]
NCT02543866,"32:42:allergy_name,47:66:allergy_name",Allergy or hypersensitivity to omeprazole and polyethylene glycol,"['Allergy' 'or' 'hypersensitivity' 'to' 'omeprazole' 'and' 'polyethylene'
 'glycol']",[0. 0. 0. 0. 4. 0. 4. 4.]
NCT02193191,"45:64:chronic_disease,111:135:treatment","Patients must have confirmed and measurable Sickle Cell Disease, defined by SS or Sβ thalassemia confirmed by hemoglobin fractionation","['Patients' 'must' 'have' 'confirmed' 'and' 'measurable' 'Sickle' 'Cell'
 'Disease' ',' 'defined' 'by' 'SS' 'or' 'Sβ' 'thalassemia' 'confirmed'
 'by' 'hemoglobin' 'fractionation']",[0. 0. 0. 0. 0. 0. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]
NCT02675959,56:75:chronic_disease,Patients must demonstrate one or more of the following Sickle Cell Disease Complications (or patients in Cohort 2 can meet other high risk criteria instead),"['Patients' 'must' 'demonstrate' 'one' 'or' 'more' 'of' 'the' 'following'
 'Sickle' 'Cell' 'Disease' 'Complications' '(' 'or' 'patients' 'in'
 'Cohort' '2' 'can' 'meet' 'other' 'high' 'risk' 'criteria' 'instead' ')']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
NCT02562040,1:20:chronic_disease,Sickle Cell Disease,['Sickle' 'Cell' 'Disease'],[2. 2. 2.]
NCT01461837,",56:75:chronic_disease",Patients must demonstrate one or more of the following Sickle Cell Disease Complications,"['Patients' 'must' 'demonstrate' 'one' 'or' 'more' 'of' 'the' 'following'
 'Sickle' 'Cell' 'Disease' 'Complications']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 2. 0.]
NCT02574728,"31:62:treatment,66:76:treatment",Currently receiving receiving potent CYP3A4 (enzyme) inducers or inhibitors,"['Currently' 'receiving' 'receiving' 'potent' 'CYP3A4' '(' 'enzyme' ')'
 'inducers' 'or' 'inhibitors']",[0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 1.]
NCT02374333,"19:36:treatment,165:180:treatment","Concurrent use of systemic steroids at the time of cell infusion or cell collection, or a condition, in the treating physician's opinion, that is likely to require steroid therapy during collection or after infusion","['Concurrent' 'use' 'of' 'systemic' 'steroids' 'at' 'the' 'time' 'of'
 'cell' 'infusion' 'or' 'cell' 'collection' ',' 'or' 'a' 'condition' ','
 'in' 'the' 'treating' 'physician' ""'s"" 'opinion' ',' 'that' 'is' 'likely'
 'to' 'require' 'steroid' 'therapy' 'during' 'collection' 'or' 'after'
 'infusion']","[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.]"
NCT02264236,27:44:treatment,Subjects who have been on systemic steroids will require a 6-week washout period,"['Subjects' 'who' 'have' 'been' 'on' 'systemic' 'steroids' 'will'
 'require' 'a' '6-week' 'washout' 'period']",[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
NCT01994382,"16:33:treatment,,",Current use of systemic steroids >20 mg QD prednisone (or equivalent),"['Current' 'use' 'of' 'systemic' 'steroids' '>' '20' 'mg' 'QD'
 'prednisone' '(' 'or' 'equivalent' ')']",[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT01474889,70:87:treatment,Receiving treatment for a medical condition requiring chronic use of systemic steroids,"['Receiving' 'treatment' 'for' 'a' 'medical' 'condition' 'requiring'
 'chronic' 'use' 'of' 'systemic' 'steroids']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]
NCT02429830,"1:5:chronic_disease,30:41:treatment,","GERD symptoms, in absence of PPI therapy (minimum 7 days)","['GERD' 'symptoms' ',' 'in' 'absence' 'of' 'PPI' 'therapy' '(' 'minimum'
 '7' 'days' ')']",[2. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.]
NCT02561988,"14:21:chronic_disease,50:73:treatment",History of a seizure disorder or requirement for anti-seizure medication,"['History' 'of' 'a' 'seizure' 'disorder' 'or' 'requirement' 'for'
 'anti-seizure' 'medication']",[0. 0. 0. 2. 0. 0. 0. 0. 1. 1.]
NCT03176784,12:19:chronic_disease,history of seizure within the last year,['history' 'of' 'seizure' 'within' 'the' 'last' 'year'],[0. 0. 2. 0. 0. 0. 0.]
NCT03093272,32:39:chronic_disease,Medications known to lower the seizure threshold must be discontinued,"['Medications' 'known' 'to' 'lower' 'the' 'seizure' 'threshold' 'must'
 'be' 'discontinued']",[0. 0. 0. 0. 0. 2. 0. 0. 0. 0.]
NCT02769000,12:19:chronic_disease,History of seizure activity,['History' 'of' 'seizure' 'activity'],[0. 0. 2. 0.]
NCT02480114,12:19:chronic_disease,History of seizure disorder,['History' 'of' 'seizure' 'disorder'],[0. 0. 2. 0.]
NCT02452008,21:28:chronic_disease,Have a history of a seizure,['Have' 'a' 'history' 'of' 'a' 'seizure'],[0. 0. 0. 0. 0. 2.]
NCT02366754,"23:30:chronic_disease,",Have had a documented seizure within 3 months of study screening,"['Have' 'had' 'a' 'documented' 'seizure' 'within' '3' 'months' 'of'
 'study' 'screening']",[0. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0.]
NCT02316574,44:51:chronic_disease,"History of severe alcohol withdrawal (e.g. seizure, delirium tremens, multiple detoxifications or ER visits for alcohol withdrawal)","['History' 'of' 'severe' 'alcohol' 'withdrawal' '(' 'e.g' '.' 'seizure'
 ',' 'delirium' 'tremens' ',' 'multiple' 'detoxifications' 'or' 'ER'
 'visits' 'for' 'alcohol' 'withdrawal' ')']",[0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02254863,",108:115:chronic_disease","Three or more of the early clinical markers: problems sleeping, increased activity, behavior difficulties, seizure-like activity, chewing behavior, inappropriate bladder training, inappropriate bowel training","['Three' 'or' 'more' 'of' 'the' 'early' 'clinical' 'markers' ':'
 'problems' 'sleeping' ',' 'increased' 'activity' ',' 'behavior'
 'difficulties' ',' 'seizure-like' 'activity' ',' 'chewing' 'behavior' ','
 'inappropriate' 'bladder' 'training' ',' 'inappropriate' 'bowel'
 'training']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]"
NCT01964261,12:19:chronic_disease,History of seizure,['History' 'of' 'seizure'],[0. 0. 2.]
NCT01961557,16:23:chronic_disease,A history of a seizure in the past year,['A' 'history' 'of' 'a' 'seizure' 'in' 'the' 'past' 'year'],[0. 0. 0. 0. 2. 0. 0. 0. 0.]
NCT01915095,81:88:chronic_disease,"Receiving drugs acting primarily on the central nervous system, which lower the seizure threshold (see appendix 2)","['Receiving' 'drugs' 'acting' 'primarily' 'on' 'the' 'central' 'nervous'
 'system' ',' 'which' 'lower' 'the' 'seizure' 'threshold' '(' 'see'
 'appendix' '2' ')']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0.]
NCT01882153,",41:48:chronic_disease","medically unstable (e.g., more than one seizure a month)","['medically' 'unstable' '(' 'e.g.' ',' 'more' 'than' 'one' 'seizure' 'a'
 'month' ')']",[0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.]
NCT01434316,"21:28:chronic_disease,",Patients with prior seizure history who have experienced a seizure within the three months prior to enrollment,"['Patients' 'with' 'prior' 'seizure' 'history' 'who' 'have' 'experienced'
 'a' 'seizure' 'within' 'the' 'three' 'months' 'prior' 'to' 'enrollment']",[0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT00739362,42:49:chronic_disease,Personal or first-degree relative with a seizure history,['Personal' 'or' 'first-degree' 'relative' 'with' 'a' 'seizure' 'history'],[0. 0. 0. 0. 0. 0. 2. 0.]
NCT02515110,"27:47:treatment,51:62:treatment",History of ipsilateral or contralateral breast or thoracic RT for any condition,"['History' 'of' 'ipsilateral' 'or' 'contralateral' 'breast' 'or'
 'thoracic' 'RT' 'for' 'any' 'condition']",[0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 0. 0.]
NCT01953588,"30:50:cancer,",Mammogram for the unaffected contralateral breast is required within 12 months prior to registration,"['Mammogram' 'for' 'the' 'unaffected' 'contralateral' 'breast' 'is'
 'required' 'within' '12' 'months' 'prior' 'to' 'registration']",[0. 0. 0. 0. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02478255,"30:41:treatment,",Patient scheduled to undergo thoracic RT at Duke University to a dose of at least 20 Gy,"['Patient' 'scheduled' 'to' 'undergo' 'thoracic' 'RT' 'at' 'Duke'
 'University' 'to' 'a' 'dose' 'of' 'at' 'least' '20' 'Gy']",[0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02323880,"1:33:treatment,,61:90:treatment",Biologic (anti-neoplastic agent): At least 7 days after the last dose of a biologic agent,"['Biologic' '(' 'anti-neoplastic' 'agent' ')' ':' 'At' 'least' '7' 'days'
 'after' 'the' 'last' 'dose' 'of' 'a' 'biologic' 'agent']",[1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.]
NCT01994538,"1:10:treatment,29:58:treatment","Treatment initiated with an empiric antimicrobial regimen that is underdosed, based on current guidelines and reviews","['Treatment' 'initiated' 'with' 'an' 'empiric' 'antimicrobial' 'regimen'
 'that' 'is' 'underdosed' ',' 'based' 'on' 'current' 'guidelines' 'and'
 'reviews']",[1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02574910,1:10:treatment,Treatment with growth hormone at enrollment or during the course of the study,"['Treatment' 'with' 'growth' 'hormone' 'at' 'enrollment' 'or' 'during'
 'the' 'course' 'of' 'the' 'study']",[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02477839,",105:114:treatment","device settings must be kept stable for >=2 weeks prior to Visit 1 and kept stable during the Baseline, Treatment, and Transition Periods","['device' 'settings' 'must' 'be' 'kept' 'stable' 'for' '>' '=2' 'weeks'
 'prior' 'to' 'Visit' '1' 'and' 'kept' 'stable' 'during' 'the' 'Baseline'
 ',' 'Treatment' ',' 'and' 'Transition' 'Periods']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.
 0. 0.]"
NCT02453373,"1:10:treatment,",Treatment must be initiated within 8 hours from known time of symptom onset,"['Treatment' 'must' 'be' 'initiated' 'within' '8' 'hours' 'from' 'known'
 'time' 'of' 'symptom' 'onset']",[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02414139,11:20:treatment,Cohort 5: Treatment-naïve patients with cMET dysregulation,"['Cohort' '5' ':' 'Treatment-naïve' 'patients' 'with' 'cMET'
 'dysregulation']",[0. 0. 0. 1. 0. 0. 0. 0.]
NCT02346526,1:10:treatment,Treatment should be completed for spinal cord compression,['Treatment' 'should' 'be' 'completed' 'for' 'spinal' 'cord' 'compression'],[1. 0. 0. 0. 0. 0. 0. 0.]
NCT02336217,1:10:treatment,Treatment by Marshall Internal Medicine Department,['Treatment' 'by' 'Marshall' 'Internal' 'Medicine' 'Department'],[1. 0. 0. 0. 0. 0.]
NCT02130687,"1:10:treatment,",Treatment with any investigational drug in the 1 month preceding the study,"['Treatment' 'with' 'any' 'investigational' 'drug' 'in' 'the' '1' 'month'
 'preceding' 'the' 'study']",[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT01584076,"1:10:treatment,",Treatment with topical atropine within the past 4 weeks,['Treatment' 'with' 'topical' 'atropine' 'within' 'the' 'past' '4' 'weeks'],[1. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT00147056,",70:79:treatment,,",Size of the targeted portion of the tumor (i.e. prescribed Region Of Treatment) is less than 2.5 cm in diameter or 8 cm3 in volume,"['Size' 'of' 'the' 'targeted' 'portion' 'of' 'the' 'tumor' '(' 'i.e' '.'
 'prescribed' 'Region' 'Of' 'Treatment' ')' 'is' 'less' 'than' '2.5' 'cm'
 'in' 'diameter' 'or' '8' 'cm3' 'in' 'volume']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]"
NCT03058146,"14:20:cancer,,53:77:cancer",treatment of cancer in the past 2 years (other than non-melanoma skin cancer),"['treatment' 'of' 'cancer' 'in' 'the' 'past' '2' 'years' '(' 'other'
 'than' 'non-melanoma' 'skin' 'cancer' ')']",[0. 0. 3. 0. 0. 0. 0. 0. 0. 0. 0. 3. 3. 3. 0.]
NCT02945969,"12:18:cancer,30:54:cancer,",History of cancer other than non-melanoma skin cancer within two years prior to enrollment based on patient self-report,"['History' 'of' 'cancer' 'other' 'than' 'non-melanoma' 'skin' 'cancer'
 'within' 'two' 'years' 'prior' 'to' 'enrollment' 'based' 'on' 'patient'
 'self-report']",[0. 0. 3. 0. 0. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02695433,"13:19:cancer,31:55:cancer,",Have or had cancer other than non-melanoma skin cancer in past 5 years,"['Have' 'or' 'had' 'cancer' 'other' 'than' 'non-melanoma' 'skin' 'cancer'
 'in' 'past' '5' 'years']",[0. 0. 0. 3. 0. 0. 3. 3. 3. 0. 0. 0. 0.]
NCT02359864,"30:36:cancer,44:68:cancer",The patient has a history of cancer except non-melanoma skin cancer,"['The' 'patient' 'has' 'a' 'history' 'of' 'cancer' 'except' 'non-melanoma'
 'skin' 'cancer']",[0. 0. 0. 0. 0. 0. 3. 0. 3. 3. 3.]
NCT01365169,"16:22:cancer,35:59:cancer","History of any cancer, other than non-melanoma skin cancer (Arm 4)","['History' 'of' 'any' 'cancer' ',' 'other' 'than' 'non-melanoma' 'skin'
 'cancer' '(' 'Arm' '4' ')']",[0. 0. 0. 3. 0. 0. 0. 3. 3. 3. 0. 0. 0. 0.]
NCT03187951,11:17:cancer,Recurrent cancer following prior resection,['Recurrent' 'cancer' 'following' 'prior' 'resection'],[0. 3. 0. 0. 0.]
NCT03181750,109:115:cancer,Meeting medium to high risk for death at 1 year using the CARING criteria (although excluding patients with cancer diagnosis),"['Meeting' 'medium' 'to' 'high' 'risk' 'for' 'death' 'at' '1' 'year'
 'using' 'the' 'CARING' 'criteria' '(' 'although' 'excluding' 'patients'
 'with' 'cancer' 'diagnosis' ')']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 3. 0. 0.]
NCT03174379,8:14:cancer,active cancer,['active' 'cancer'],[0. 3.]
NCT03146663,"48:54:cancer,",Patients who have a history of another type of cancer diagnosed within the past 5 years,"['Patients' 'who' 'have' 'a' 'history' 'of' 'another' 'type' 'of' 'cancer'
 'diagnosed' 'within' 'the' 'past' '5' 'years']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 3. 0. 0. 0. 0. 0. 0.]
NCT03135171,",,,89:95:cancer",Eastern Cooperative Oncology Group Performance Status of 0 or 1 (An attempt to quantify cancer patients' general well-being and activities of daily life,"['Eastern' 'Cooperative' 'Oncology' 'Group' 'Performance' 'Status' 'of'
 '0' 'or' '1' '(' 'An' 'attempt' 'to' 'quantify' 'cancer' 'patients' ""'""
 'general' 'well-being' 'and' 'activities' 'of' 'daily' 'life']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 3. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]"
