ID,tags,text,tokens,ner_tags
NCT01554410,7:19:treatment,Prior radiotherapy to the pelvis,['Prior' 'radiotherapy' 'to' 'the' 'pelvis'],[0. 1. 0. 0. 0.]
NCT01538966,"17:29:treatment,",The patient had radiotherapy within 12 months prior to study entry,"['The' 'patient' 'had' 'radiotherapy' 'within' '12' 'months' 'prior' 'to'
 'study' 'entry']",[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
NCT01508390,10:22:treatment,No prior radiotherapy to the pelvis,['No' 'prior' 'radiotherapy' 'to' 'the' 'pelvis'],[0. 0. 1. 0. 0. 0.]
NCT01360606,10:22:treatment,No prior radiotherapy to the upper abdomen,['No' 'prior' 'radiotherapy' 'to' 'the' 'upper' 'abdomen'],[0. 0. 1. 0. 0. 0. 0.]
NCT00909909,48:60:treatment,Breast considered technically satisfactory for radiotherapy,['Breast' 'considered' 'technically' 'satisfactory' 'for' 'radiotherapy'],[0. 0. 0. 0. 0. 1.]
NCT00909909,43:55:treatment,"May be initiated before, during, or after radiotherapy","['May' 'be' 'initiated' 'before' ',' 'during' ',' 'or' 'after'
 'radiotherapy']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
NCT00909909,81:93:treatment,No evidence of suspicious microcalcifications in the breast before the start of radiotherapy,"['No' 'evidence' 'of' 'suspicious' 'microcalcifications' 'in' 'the'
 'breast' 'before' 'the' 'start' 'of' 'radiotherapy']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
NCT00670358,"10:22:treatment,,",No prior radiotherapy to ≥ 25% of the bone marrow,['No' 'prior' 'radiotherapy' 'to' '≥' '25' '%' 'of' 'the' 'bone' 'marrow'],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT00632853,10:22:treatment,No prior radiotherapy,['No' 'prior' 'radiotherapy'],[0. 0. 1.]
NCT01554410,"7:28:treatment,",Prior systemic chemotherapy within the last three years,['Prior' 'systemic' 'chemotherapy' 'within' 'the' 'last' 'three' 'years'],[0. 1. 1. 0. 0. 0. 0. 0.]
NCT00293475,"7:28:treatment,,",prior systemic chemotherapy must have been given at least 4 weeks prior to study entry (6 weeks for nitrosourea agents),"['prior' 'systemic' 'chemotherapy' 'must' 'have' 'been' 'given' 'at'
 'least' '4' 'weeks' 'prior' 'to' 'study' 'entry' '(' '6' 'weeks' 'for'
 'nitrosourea' 'agents' ')']",[0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02945800,"115:138:treatment,221:234:treatment","Hematopoietic growth factors: 7 days must have elapsed from the start of protocol therapy since the completion of therapy with filgrastim, and 14 days must have elapsed from the start of protocol therapy after receiving pegfilgrastim","['Hematopoietic' 'growth' 'factors' ':' '7' 'days' 'must' 'have' 'elapsed'
 'from' 'the' 'start' 'of' 'protocol' 'therapy' 'since' 'the' 'completion'
 'of' 'therapy' 'with' 'filgrastim' ',' 'and' '14' 'days' 'must' 'have'
 'elapsed' 'from' 'the' 'start' 'of' 'protocol' 'therapy' 'after'
 'receiving' 'pegfilgrastim']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]"
NCT02304458,",105:118:treatment,,","Hematopoietic growth factors: At least 14 days after the last dose of a long-acting growth factor (e.g. pegfilgrastim) or 7 days for short-acting growth factor; for agents that have known adverse events occurring beyond 7 days after administration, this period must be extended beyond the time during which adverse events are known to occur; the duration of this interval must be discussed with the study chair","['Hematopoietic' 'growth' 'factors' ':' 'At' 'least' '14' 'days' 'after'
 'the' 'last' 'dose' 'of' 'a' 'long-acting' 'growth' 'factor' '(' 'e.g'
 '.' 'pegfilgrastim' ')' 'or' '7' 'days' 'for' 'short-acting' 'growth'
 'factor' ';' 'for' 'agents' 'that' 'have' 'known' 'adverse' 'events'
 'occurring' 'beyond' '7' 'days' 'after' 'administration' ',' 'this'
 'period' 'must' 'be' 'extended' 'beyond' 'the' 'time' 'during' 'which'
 'adverse' 'events' 'are' 'known' 'to' 'occur' ';' 'the' 'duration' 'of'
 'this' 'interval' 'must' 'be' 'discussed' 'with' 'the' 'study' 'chair']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]"
NCT02114229,",52:65:treatment",At least 14 days must have elapsed after receiving pegfilgrastim,"['At' 'least' '14' 'days' 'must' 'have' 'elapsed' 'after' 'receiving'
 'pegfilgrastim']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
NCT02076906,1:14:treatment,pegfilgrastim,['pegfilgrastim'],[1.]
NCT02025465,"39:48:allergy_name,52:62:allergy_name",Known allergy or adverse reactions to diltiazem or metoprolol,"['Known' 'allergy' 'or' 'adverse' 'reactions' 'to' 'diltiazem' 'or'
 'metoprolol']",[0. 0. 0. 0. 0. 0. 4. 0. 4.]
NCT02594111,1:10:treatment,diltiazem,['diltiazem'],[1.]
NCT02971202,1:11:treatment,metoprolol,['metoprolol'],[1.]
NCT02293096,21:31:allergy_name,hypersensitivity to metoprolol or its derivatives,['hypersensitivity' 'to' 'metoprolol' 'or' 'its' 'derivatives'],[0. 0. 4. 0. 0. 0.]
NCT03088072,"36:46:treatment,50:59:treatment",A need for on-going treatment with ticagrelor or prasugrel,"['A' 'need' 'for' 'on-going' 'treatment' 'with' 'ticagrelor' 'or'
 'prasugrel']",[0. 0. 0. 0. 0. 0. 1. 0. 1.]
NCT02471430,"8:30:treatment,68:85:treatment",Use of HIV protease inhibitor or other strong or moderately strong CYP3A4 inhibitors,"['Use' 'of' 'HIV' 'protease' 'inhibitor' 'or' 'other' 'strong' 'or'
 'moderately' 'strong' 'CYP3A4' 'inhibitors']",[0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1.]
NCT02393794,20:37:treatment,Concomitant use of CYP3A4 inhibitors,['Concomitant' 'use' 'of' 'CYP3A4' 'inhibitors'],[0. 0. 0. 1. 1.]
NCT01908777,20:37:treatment,Concomitant use of CYP3A4 inhibitors,['Concomitant' 'use' 'of' 'CYP3A4' 'inhibitors'],[0. 0. 0. 1. 1.]
NCT02578901,"26:48:cancer,52:59:chronic_disease",Confirmed diagnosis of a hematologic malignancy or aplasia,"['Confirmed' 'diagnosis' 'of' 'a' 'hematologic' 'malignancy' 'or'
 'aplasia']",[0. 0. 0. 0. 3. 3. 0. 2.]
NCT01666080,70:77:chronic_disease,"Occasionally donor derived engraftment may be present, but sustained aplasia or failed recovery of sufficient hematopoiesis requires administration of a second graft","['Occasionally' 'donor' 'derived' 'engraftment' 'may' 'be' 'present' ','
 'but' 'sustained' 'aplasia' 'or' 'failed' 'recovery' 'of' 'sufficient'
 'hematopoiesis' 'requires' 'administration' 'of' 'a' 'second' 'graft']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT03007030,"10:32:cancer,",no prior hematologic malignancy within 3 years,['no' 'prior' 'hematologic' 'malignancy' 'within' '3' 'years'],[0. 0. 3. 3. 0. 0. 0.]
NCT02712229,1:23:cancer,hematologic malignancy,['hematologic' 'malignancy'],[3. 3.]
NCT02706353,26:48:cancer,Patients with history of hematologic malignancy,['Patients' 'with' 'history' 'of' 'hematologic' 'malignancy'],[0. 0. 0. 0. 3. 3.]
NCT01807611,11:33:cancer,High risk hematologic malignancy,['High' 'risk' 'hematologic' 'malignancy'],[0. 0. 3. 3.]
NCT01306019,29:51:chronic_disease,Any current or pre-existing hematologic malignancy,['Any' 'current' 'or' 'pre-existing' 'hematologic' 'malignancy'],[0. 0. 0. 0. 2. 2.]
NCT01986205,"1:18:treatment,35:60:treatment",Implanted devices not cleared for hyperbaric pressurization,['Implanted' 'devices' 'not' 'cleared' 'for' 'hyperbaric' 'pressurization'],[1. 1. 0. 0. 0. 1. 1.]
NCT03013543,33:43:allergy_name,Significant hypersensitivity to study drug,['Significant' 'hypersensitivity' 'to' 'study' 'drug'],[0. 0. 0. 4. 4.]
NCT02589340,19:29:treatment,Unable to swallow study drug (capsule),['Unable' 'to' 'swallow' 'study' 'drug' '(' 'capsule' ')'],[0. 0. 0. 1. 1. 0. 0. 0.]
